Nombre Institución,Investigadores,Número de Reseñas Verificadas,Número de Publicaciones
Kongu Engineering College INDIA,535,5,913
Universitas Hasanuddin,533,2,731
Belgorod State University,533,4,726
Florida International University,532,25,7.636
Yildiz Technical University,532,3,1.683
Los Alamos National Laboratory,530,15,3.494
University of Delaware,528,21,5.028
"University of California, Riverside",528,11,5.245
Universiti Malaysia Terengganu,527,11,6.221
Uzhhorod National University,527,-,97
Oregon State University,527,11,3.480
Shupyk National University of Health of Ukraine,527,2,226
Victoria University Wellington,526,30,8.000
Catholic University of the Sacred Heart,525,17,5.190
University of Leicester,522,9,3.544
Samara National Research University,522,3,831
King Abdullah University of Science and Technology,519,20,5.241
Universiti Tunku Abdul Rahman,519,17,5.122
Hong Kong University of Science and Technology,518,14,4.247
Sungkyunkwan University,518,10,4.003
Leiden University Medical Center (LUMC),517,18,4.860
INPE - Brazilian National Institute for Space Research,517,5,1.429
University of Bergen,517,13,4.822
Kazan Federal University Naberezhnye Chelny Institute,517,-,10
University of Alabama Birmingham,515,19,6.507
Kyushu University,515,27,6.872
Erasmus University Rotterdam,515,14,4.347
Leiden University,514,18,5.071
Zhetysu State Univeristy named after I. Zhansugurov,513,-,2
Case Western Reserve University,513,24,8.823
St. Jude Children's Research Hospital,513,16,5.108
Dnipro University of Technology,513,1,177
University of Babylon,513,8,3.022
Okinawa Institute of Science and Technology Graduate University,512,10,2.058
Bogazici University,512,5,1.922
Plekhanov Russian University of Economics,512,2,253
"Collegium Medicum Bydgoszcz, Nicolaus Copernicus University Toruń, Poland",511,3,854
Universidade Federal do Estado do Rio de Janeiro,510,3,1.517
University of Cagliari,510,36,10.035
Nanjing University of Aeronautics and Astronautics,509,16,4.484
Volgograd State Technical University,509,-,27
California Institute of Technology,508,8,2.219
Pontificia Universidade Catolica de Sao Paulo,508,-,216
Universidade Nove de Julho - UNINOVE,508,3,1.120
"National University of Ireland, Galway",507,10,2.994
"Northeastern University, USA",505,12,4.553
University of Salerno,505,36,11.964
Texas Tech University,504,12,4.218
Rice University,503,10,3.799
University of West Bohemia,503,7,1.762
Universitas Islam Bandung,502,-,32
Nanjing University of Science and Technology,502,18,5.860
Carol Davila University of Medicine and Pharmacy,502,19,5.139
Voronezh State Agrarian University named after Emperor Peter the Great,501,-,2
University of Trento,500,32,7.259
Technical University of Ostrava,500,6,2.122
"Institute of Metal Physics, Ural Branch of the Russian Academy of Sciences, IMP",500,-,237
Universidade Federal Rural de Pernambuco (UFRPE),499,4,1.581
Universiti Utara Malaysia,497,8,2.549
University of Massachusetts Amherst,497,8,3.142
University of Trás-os-Montes & Alto Douro,496,44,11.598
University of Bordeaux,495,13,4.155
Universidad de Concepcion,493,2,1.197
China Agricultural University,491,10,2.800
Chernihiv National University of Technology,491,1,513
Ruhr University Bochum,490,24,4.903
Vinnytsia National Agrarian University,488,-,4
University of Turku,488,25,6.963
University of Science and Technology Beijing,488,15,3.991
Tel Aviv University,487,17,4.352
University of Limerick,486,15,4.481
Benemerita Universidad Autónoma de Puebla,486,5,1.545
State University of New York (SUNY) Stony Brook,485,18,5.005
NASA Goddard Space Flight Center,484,4,1.175
