Autor,Universidad,Correo,Intereses,Cant Citas
Felipe Caamaño,Profesor de educación física en Universidad Católica de Temuco,Dirección de correo verificada de educa.uct.cl,Obesidad ejercicio fisiología variables Psicosociales ,Citado por 816
Pablo Letelier,"Precision Health Research Laboratory, Departamento de Procesos Diagnósticos y …",Dirección de correo verificada de uct.cl,epigenetics oncology ,Citado por 791
Lohengrin Cavieres,Universidad de Concepcion,Dirección de correo verificada de udec.cl,Plant Ecology Plant ecophysiology Alpine Plant Ecology ,Citado por 13566
Osvaldo Ulloa,"Universidad de Concepción, Chile",Dirección de correo verificada de udec.cl,Microbial Oceanography ,Citado por 12190
ruben pena,"university of nottingham, university of magallanes, university of concepcion",Dirección de correo verificada de udec.cl,power electronics ac drives renewable energy ,Citado por 10701
José R. Espinoza,"Professor, Electrical Engineering Department, Universidad de Concepción",Dirección de correo verificada de udec.cl,Modelling and Control of Static Power … ,Citado por 10127
Aníbal Pauchard,Universidad de Concepción,Dirección de correo verificada de udec.cl,Invasion Ecology ,Citado por 9919
Rodrigo Reeves,"Associate Professor, CePIA, Astronomy Department, Universidad de Concepción, Chile",Dirección de correo verificada de udec.cl,Radio astronomy AGN blazar variability polarimetry mm and submm-wave instrumentation cryogenic instruments ,Citado por 9763
Luis Morán,Concepcion University,Dirección de correo verificada de udec.cl,Power Quality Power Electronics Power System Protections ,Citado por 9708
Sergio N. Torres,"Professor of Electrical Engineering, University of Concepcion",Dirección de correo verificada de udec.cl,Optoelectronics Infrared Imaging Hyperspectral Imaging interferometry ,Citado por 9198
Roberto Rodriguez Rios,"Profesor Emérito, Universidad de Concepción",Dirección de correo verificada de udec.cl,Botánica Flora de Chile ,Citado por 8802
Michael Fellhauer,"associate professor of astronomy, Universidad de Concepcion, Concepcion, Chile",Dirección de correo verificada de astro-udec.cl,astronomy: theoretical stellar dynamics ,Citado por 8623
Jose L. Prieto,Universidad Diego Portales,Dirección de correo verificada de mail.udp.cl,Astronomy ,Citado por 22591
Jose Joaquin BRUNNER,"Professor,  Sociology of Education. UNESCO Chair, Universidad Diego Portales, Chile",Dirección de correo verificada de mail.udp.cl,Higher education Political economy of education Policy and cultural analysis ,Citado por 19150
PAULA JOFRE PFEIL,assistant professor Nucleo Astronomia Universidad Diego Portales,Dirección de correo verificada de mail.udp.cl,stellar and Galactic astrophysics ,Citado por 11508
Cristóbal Rovira Kaltwasser,"Professor, Universidad Diego Portales",Dirección de correo verificada de udp.cl,comparative politics populism democracy ,Citado por 10503
